 INFO  Accepting connections at http://localhost:4321
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/data-providers/google-weather/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/data-providers/introduction/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/harmony-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/hackathon-resources/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/google-weather/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/hackathon-rules-waiver-release-and-code-of-conduct/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/get-request/examples/array-response/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /any-api/find-oracle/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/historical-price-data/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/huobi-eco-chain-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/install-metamask/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/initiators/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/intermediates-tutorial/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/job-specifications/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/migration-v1-v2/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/any/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/base64decode/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/bridge/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/base64encode/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/cborparse/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/divide/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/eth-abi-decode-log/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/eth-abi-decode/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/eth-abi-encode/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/eth-call/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/hexdecode/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/eth-tx/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/hexencode/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/http/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/jsonparse/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/length/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/lowercase/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/median/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/mean/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/lessthan/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/pipelines/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/sum/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/multiply/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/mode/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/task-types/uppercase/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/cron/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/direct-request/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/flux-monitor/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/webhook/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/offchain-reporting/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/kaiko-chainlink-ethereum-mainnet/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/jobs/types/keeper/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/kaiko-chainlink-testnet/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/l2-sequencer-flag/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/kovan-keeper-network-beta/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/large-responses/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/lcx-testnet/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/link-token-contracts/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/listing-services/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/make-a-http-get-request/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/miscellaneous/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/matic-addresses/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/multi-variable-responses/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/node-operator-overview/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/node-operators/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/off-chain-reporting/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/node-versions/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/opensky-chainlink-testnet/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/optimism-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/other-tutorials/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/paying-for-smart-contracts-oracles/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/performing-system-maintenance/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 3 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/price-feeds-api-reference/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/price-feeds-migration-august-2020/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/polkadot-and-substrate-resources/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/prospectnow-data-oracle/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/reference-contracts/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/privacy-policy/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/reference-data-contracts-binance-smart-chain/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/request-and-receive-data/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/resources/selecting-data-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/run-an-ethereum-client/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/running-a-chainlink-node/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/selecting-data-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/single-word-response/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/smartzip-awm-oracle/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/solana-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 3 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/solana/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/solana/data-feeds-solana/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/solana/using-data-feeds-off-chain/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/solana/using-data-feeds-solana/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/sport-monks-oracle/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/tasks/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/terms-of-use/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/terra/using-data-feeds-terra/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/testnet-oracles/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/therundown-oracle-node/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/use-your-first-contract/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/the-hunt/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/tutorials/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/using-chainlink-reference-contracts/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/user-guides/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf-contracts/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf-contracts/v1/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/api-reference/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/best-practices/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf-security-considerations/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/examples/get-a-random-number/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/security/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/best-practices/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/introduction/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v1/supported-networks/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/direct-funding/examples/get-a-random-number/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/direct-funding/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/direct-funding/migration-from-v1/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/direct-funding/supported-networks/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/examples/get-a-random-number/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/introduction/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/examples/programmatic-subscription/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/security/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 0 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 2 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/examples/programmatic-subscription/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/examples/get-a-random-number/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/migration-from-v1/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/supported-networks/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/subscription/ui/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/supported-networks/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/vrf/v2/ui/
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 Returned 200 in 1 ms
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/xdai-price-feeds/
 HTTP  1/31/2025 1:05:14 PM ::1 GET /docs/workshop/
